% Model:              
% Version:            COMSOL 4.4.0.248
% Date:               Dec 8 2014, 21:41
% Dimension:          2
% Nodes:              6582
% Expressions:        3
% Description:        Velocity field, x component, Velocity field, y component, Vorticity field, z component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  spf.vorticityz (1/s)
-2.3703009147868475       0.9875698160204777       1.975139632040954        -4.574027365180887E-16   -2.0000000000002314
-2.3443411044846494       0.9943010554580425       1.9886021109160836       -1.3611943694041314E-16  -2.0000000000003886
-2.231953674836533        -0.9754196110309434      -1.9508392220618356      -6.679756932067915E-15   -2.000000000002409
-2.3235499192056452       -0.9601307643712622      -1.9202615287424982      -9.729020383125366E-15   -2.000000000001272
-2.2987810734860314       -0.958925701970099       -1.9178514039401569      -1.2493553506057866E-14  -2.000000000001272
-2.2461548098867903       -0.9568931916763614      -1.9137863833526405      -1.835723095904784E-14   -2.0000000000025566
-2.269335155264001        -0.9585900980060321      -1.9171801960120034      -1.520664136265759E-14   -2.0000000000016884
-2.334851162274575        -0.9390006911192726      -1.878001382238505       -2.070483880679758E-14   -2.000000000001268
-2.3596216196568878       -0.938617702754968       -1.8772354055099112      -1.5392247948810078E-14  -2.000000000000695
-2.3814355796790574       -0.9178909996580116      -1.8357819993159965      -2.1890685968833426E-14  -2.000000000000695
-2.4153632336107926       -0.9094807577846702      -1.8189615155693273      -1.3174527455358634E-14  -2.0000000000007114
-2.443856619712035        -0.8908178247107683      -1.7816356494215289      -8.34833727946315E-15    -2.000000000000339
-2.4734040900148124       -0.8777992222690306      -1.755598444538059       -1.8766000982827876E-15  -2.0000000000003064
-2.5                      -0.8666332477644936      -1.7332664955289872      0                        -2.0000000000005507
-2.203679712997763        -0.9731714778850806      -1.946342955770088       -8.661969664145838E-15   -2.0000000000030322
-2.163281118857884        -0.9869391828764376      -1.973878365752827       -2.3877711507301416E-15  -2.000000000003783
-2.1755582374935414       -0.9729406524128849      -1.9458813048256771      -9.56399286864141E-15    -2.000000000004016
-2.1373740015308957       -0.987045284046953       -1.974090568093849       -2.572991840585966E-15   -2.000000000004498
-2.1114668842039084       -0.9871266575758739      -1.974253315151681       -2.5261036916458477E-15  -2.0000000000048885
-2.08555976687692         -0.9941623507539634      -1.988324701507892       -5.770172614651271E-16   -2.0000000000059317
-2.08555976687692         -0.9871571716587195      -1.9743143433173624      -2.628807716685E-15      -2.0000000000060005
-2.4282440489623687       0.9619437324636189       1.9238874649272373       -6.34296824684576E-16    -2.0000000000001315
-2.4365482910272536       0.9420929862189474       1.8841859724378927       -1.4583372525755968E-15  -2.00000000000014
-2.4575220383062817       0.9441315327130019       1.8882630654260033       4.9911131156651846E-17   -2.0000000000001625
-2.474993403892479        0.9393759879300072       1.8787519758600144       8.055546721363502E-16    -2.0000000000001625
-2.0337455322229436       -1                       -1.9999999999999998      -2.5054723545875916E-31  -2.0000000000077307
-2.5                      0.9443290021268038       1.8886580042536076       0                        -1.999999999999984
-2.0078384148959554       -1                       -2                       -1.2272958808060899E-30  -2.00000000000864
-1.9819312975689671       -1                       -2                       -2.039067309332592E-32   -2.0000000000096065
-2.38725525578367         0.9770450290681826       1.9540900581363634       -1.0478661384912261E-15  -2.000000000000292
-2.240501863275859        1                        2                        9.621028670368771E-31    -2.000000000001494
-2.2145420529736617       1                        1.9999999999999998       -3.079029331629881E-30   -2.000000000001902
-2.1885822426714636       1                        2                        4.3727463862030015E-30   -2.00000000000242
-2.1626224323692664       1                        2                        -5.718352083275646E-30   -2.0000000000030207
-2.398289622374923        0.9606304195904711       1.9212608391809387       -2.4566504849755367E-15  -2.0000000000003992
-2.3183812941824518       0.9942249696702233       1.9884499393404436       -1.7788464541891854E-16  -2.00000000000052
-2.292421483880254        0.9941499514115826       1.9882999028231605       -2.124115314314689E-16   -2.0000000000008282
-2.3443411044846494       0.9874623220076935       1.9749246440153834       -6.288577133924653E-16   -2.0000000000004285
-2.3615059539281504       0.976900671450883        1.9538013429017613       -1.7138247144836724E-15  -2.000000000000445
-2.3183812941824518       0.9872949332744912       1.9745898665489758       -8.277393851983579E-16   -2.0000000000006333
-2.220985339517478        -0.9572358659405744      -1.9144717318810456      -2.0098985397217385E-14  -2.0000000000029496
-2.281853286936783        -0.9379622330836638      -1.8759244661672418      -3.1474965286477595E-14  -2.000000000001584
-2.310122566155467        -0.9353986410252044      -1.8707972820503458      -2.777567569282502E-14   -2.000000000001272
-2.2322017610597635       -0.9365914827091532      -1.8731829654181615      -4.1713231839501495E-14  -2.0000000000029496
-2.2578057812796586       -0.9322359625073612      -1.8644719250145996      -4.1805370079993715E-14  -2.0000000000023888
-2.3357291282141426       -0.9104786470460441      -1.8209572940920193      -4.3617337739216406E-14  -2.0000000000011986
-2.3571394550686913       -0.9048642946286909      -1.8097285892573278      -4.0740952227161816E-14  -2.000000000001205
-2.3760278471435434       -0.8878139229709007      -1.7756278459417512      -4.587884334471301E-14   -2.000000000001016
-2.401857886634749        -0.8697707638251814      -1.7395415276503239      -4.488357773960131E-14   -2.0000000000013243
-2.5                      -0.8134489123205833      -1.6268978246411665      0                        -2.000000000000905
-2.439548234031634        -0.8533914385512422      -1.7067828771024671      -2.7667407638483254E-14  -2.0000000000012874
-2.4673172290559497       -0.8296615004872085      -1.6593230009744104      -1.8000577938981122E-14  -2.0000000000012776
-2.190952641024259        -0.9570178245969206      -1.914035649193708       -2.2564259575871686E-14  -2.0000000000030433
-2.1467017186846022       -0.9756642990184555      -1.9513285980368094      -8.622539946375096E-15   -2.0000000000043525
-2.1595459972118682       -0.9579315535617042      -1.9158631071232453      -2.36613508082145E-14    -2.0000000000042406
-2.122748445155018        -0.9757108279614872      -1.9514216559228563      -8.778316457918813E-15   -2.000000000004499
-2.095919800801537        -0.9754554060471627      -1.950910812094187       -9.377311094698869E-15   -2.0000000000060036
-2.059652649549932        -0.9941674692124345      -1.9883349384248292      -6.218428138860288E-16   -2.000000000006813
-2.059652649549932        -0.9871684322673558      -1.9743368645346244      -2.8601906204190614E-15  -2.000000000006849
